oid,owner,customer,short_name,long_name,description,tls_dv,tls_ov,tls_ev,tls_iv,codesigning_ov,codesigning_ev
1.3.6.1.4.1.18332.55.1.1.3.22,ANF Autoridad de Certificacion,,anfac-medium-level,ANF AC Medium Level Electronic Headquarters,Medium Level Electronic Headquarters With SHA-256 algorithm and 2048-bit key length,,,,,,
1.3.6.1.4.1.18332.55.1.1.4.22,ANF Autoridad de Certificacion,,anfac-high-level,ANF AC High Level Electronic Headquarters,High Level Electronic Headquarters With SHA-256 algorithm and 2048-bit key length,,,,,,
1.3.6.1.4.1.18332.55.1.1.5.22,ANF Autoridad de Certificacion,,anfac-medium-level-ev,ANF AC Medium Level Electronic Headquarters EV,Medium Level EV Electronic Headquarters With SHA-256 algorithm and 2048-bit key length,,,,,,
1.3.6.1.4.1.18332.55.1.1.6.22,ANF Autoridad de Certificacion,,anfac-high-level-ev,ANF AC High Level Electronic Headquarters EV,High Level EV Electronic Headquarters With SHA-256 algorithm and 2048-bit key length,,,,,,
1.3.6.1.4.1.18332.55.1.1.7.22,ANF Autoridad de Certificacion,,anfac-ssl-ov,ANF AC Secure Server SSL OV,Secure Server SSL OV With SHA-256 algorithm and 2048-bit key length,,,,,,
1.3.6.1.4.1.22234.2.5.2.3.1,OpenTrust/DocuSign France,,keynectis-ev,KEYNECTIS Extended Validation CA,,,,TRUE,,,
1.3.6.1.4.1.23223.1.1.1,StartCom,,startcom-ev-current,StartCom EV Current,,,,TRUE,,,
1.3.6.1.4.1.23223.2,StartCom,,startcom-cps-v4,StartCom CPS no.4,,,,TRUE,,,
1.3.6.1.4.1.23223.2,StartCom,,startcom-ev-deprecated,StartCom EV Deprecated,,,,FALSE,,,
1.3.6.1.4.1.26513.1.0.2.3,Harica,,harica-cps-v2_3,HARICA CPS v2.3,,,,,,,
1.3.6.1.4.1.26513.1.0.2.4,Harica,,harica-cps-v2_4,HARICA CPS v2.4,,,,,,,
1.3.6.1.4.1.26513.1.0.2.5,Harica,,harica-cps-v2_5,HARICA CPS v2.5,,,,,,,
1.3.6.1.4.1.26513.1.0.2.6,Harica,,harica-cps-v2_6,HARICA CPS v2.6,,,,,,,
1.3.6.1.4.1.26513.1.0.2.7,Harica,,harica-cps-v2_7,HARICA CPS v2.7,,,,,,,
1.3.6.1.4.1.26513.1.0.3.0,Harica,,harica-cps-v3_0,HARICA CPS v3.0,,,,,,,
1.3.6.1.4.1.26513.1.0.3.1,Harica,,harica-cps-v3_1,HARICA CPS v3.1,,,,,,,
1.3.6.1.4.1.26513.1.0.3.2,Harica,,harica-cps-v3_2,HARICA CPS v3.2,,,,,,,
1.3.6.1.4.1.26513.1.0.3.3,Harica,,harica-cps-v3_3,HARICA CPS v3.3,,,,,,,
1.3.6.1.4.1.26513.1.0.3.4,Harica,,harica-cps-v3_4,HARICA CPS v3.4,,,,,,,
1.3.6.1.4.1.26513.1.0.3.5,Harica,,harica-cps-v3_5,HARICA CPS v3.5,,,,,,,
1.3.6.1.4.1.30360.3.3.3.3.4.4.3.0,Trustwave,,trustwave,Trustwave,,,,,,,
1.3.6.1.4.1.34697.1.1,Trend,,trend,Trend,,,,,,,
1.3.6.1.4.1.34697.2,AffirmTrust,,affirmtrust,AffirmTrust,,,,,,,
1.3.6.1.4.1.34697.2.1,AffirmTrust ,,afirmtrust-commercial-ev,AffirmTrust Commercial Root EV,,,,TRUE,,,
1.3.6.1.4.1.34697.2.2,AffirmTrust ,,afirmtrust-networking-ev,AffirmTrust Networking Root EV,,,,TRUE,,,
1.3.6.1.4.1.34697.2.3,AffirmTrust ,,afirmtrust-premium-ev,AffirmTrust Premium Root EV,,,,TRUE,,,
1.3.6.1.4.1.34697.2.4,AffirmTrust ,,afirmtrust-premium-ecc-ev,AffirmTrust Premium ECC Root EV,,,,TRUE,,,
1.3.6.1.4.1.36305.2,Wosign,,wosign-ev,Wosign EV,,FALSE,FALSE,TRUE,FALSE,,
1.3.6.1.4.1.4146.1.1,Globalsign,,globalsign-ev,Globalsign EV,,FALSE,FALSE,TRUE,FALSE,,
1.3.6.1.4.1.4146.1.10.10,Globalsign,,globalsign-dv,Globalsign DV,,TRUE,FALSE,FALSE,FALSE,,
1.3.6.1.4.1.4146.1.20,Globalsign,,globalsign-ov,Globalsign OV,,FALSE,TRUE,FALSE,FALSE,,
1.3.6.1.4.1.44947.1.1.1,Let's Encrypt,,letsencrypt,Let's Encrypt,,TRUE,FALSE,FALSE,FALSE,,
1.3.6.1.4.1.4788.2.200.1,D-Trust,,dtrust-ov,D-Trust OV,,FALSE,TRUE,FALSE,FALSE,,
1.3.6.1.4.1.4788.2.202.1,D-Trust,,dtrust-ev,D-Trust EV,,FALSE,FALSE,TRUE,FALSE,,
1.3.6.1.4.1.5237.1.1.3,Trustis,,trustis,Trustis,,,,,,,
1.3.6.1.4.1.6334.1.100.1,Cybertrust,,cybertrust-ev,Cybertrust EV,,,,TRUE,,,
1.3.6.1.4.1.6449.1.2.1.1.1,Comodo,,comodo-smime-class1,Comodo SMIME Class 1,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.1.3.1,Comodo,,comodo-tls-ov-old,Comodo TLS OV (Old),,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.1.3.2,Comodo,,comodo-codesigning-ov,Comodo Code Signing OV,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.1.3.4,Comodo,,comodo-tls-ov,Comodo Code Signing OV,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.1.3.5,Comodo,,comodo-smime-class3,Comodo SMIME Class 3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.1.5.1,Comodo,,comodo-tls-ev,Comodo TLS EV,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.1.6.1,Comodo,,comodo-codesigning-ev,Comodo Code Signing EV,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1.3.6.1.4.1.6449.1.2.2.10,Comodo,eNom,comodo-securebusinessservices-dv,Comodo - eNom DV,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.11,Comodo,GlobalTrust,comodo-globaltrust,"Comodo - GlobalTrust""",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.12,Comodo,ARX,comodo-arx,Comodo - ARX,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.14,Comodo,Admiral Systems,comodo-asj,Comodo - Admiral Systems,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.15,Comodo,WoTrust,comodo-wotrust,Comodo - WoTrust,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.16,Comodo,RBC SOFT,comodo-rbcsoft,Comodo - RBC SOFT,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.17,Comodo,RegisterFly,comodo-registerfly,Comodo - RegisterFly,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.18,Comodo,Central Security Patrols,comodo-csp,Comodo - Central Security Patrol,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.19,Comodo,eBiz Networks,comodo-ebiznetworks,Comodo - eBiz Networks,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.20,Comodo,RegistryPro,comodo-registrypro,Comodo - RegistryPro,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.21,Comodo,OptimumSSL,comodo-optimumssl,Comodo - OptimumSSL,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.22,Comodo,WoSign,comodo-wosign,Comodo - WoSign,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.23.1,Comodo,State of Oregon,comodo-stateoforegon-officeofstatetreasurer,Comodo - State of Oregon,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.24,Comodo,Register.com,comodo-registerdotcom,"Comodo - Register.com""",,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1.3.6.1.4.1.6449.1.2.2.25,Comodo,The Code Project,comodo-thecodeproject,Comodo - The Code Project,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.26,Comodo,Gandi,comodo-gandi,Comodo - Gandi,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.27,Comodo,GlobeSSL,comodo-globessl,Comodo - GlobeSSL,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.28,Comodo,DreamHost,comodo-dreamhost,Comodo - DreamHost,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.29,Comodo,TERENA,comodo-terena,Comodo - TERENA,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.30,Comodo,SIGNGATE,comodo-sgtrust,Comodo - SIGNGATE,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.31,Comodo,GlobalSSL,comodo-globalssl,Comodo - GlobalSSL,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1.3.6.1.4.1.6449.1.2.2.35,Comodo,IceWarp,comodo-icewarp,Comodo - IceWarp,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
